Nome Modello,seed,Pre fine tune,track_name,track_length_km,episodes,completion_rate,off_track_rate,stalled_rate,best_lap_time,best_time_per_km,mean_progress_ratio,mean_reward,mean_speed_kmh,mean_abs_steering_delta
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_44,44,False,Spa,7.00005029296875,1,0.0,1.0,0.0,,,0.054975731549919804,595.0544482464034,123.11147209081602,0.027278353966641845



ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_42,42,False,Monza,5.7902021484375,1,1.0,0.0,0.0,90.10000000000001,15.56076932897994,0.9951032750468995,18232.724481695874,229.59167985954008,0.015539796386207646
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_42,42,False,Melbourne,5.29873486328125,1,1.0,0.0,0.0,95.60000000000001,18.042042575574268,0.9956321568136705,16607.83731677108,197.95610095492148,0.026194701183618486
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_42,42,False,Silverstone,5.8868046875,1,1.0,0.0,0.0,99.80000000000001,16.953169894002876,0.995753379844488,18418.75506410965,211.12655996133773,0.020085738193549828
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_42,42,False,Catalunya,4.64984375,1,1.0,0.0,0.0,87.7,18.860848818844723,0.9957274479989247,14692.816619637024,189.447710174627,0.027732911344485925
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_42,42,False,Spa,7.00005029296875,1,1.0,0.0,0.0,117.5,16.785593686094472,0.9953609429284932,21708.456692802836,213.64487626700665,0.01962597523122392
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_43,43,False,Monza,5.7902021484375,1,1.0,0.0,0.0,92.5,15.975262629640891,0.9954857908370602,18209.56387857623,223.45207916037455,0.016482335731789872
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_43,43,False,Melbourne,5.29873486328125,1,1.0,0.0,0.0,95.9,18.098659863991344,0.9964076957123001,16572.597688149464,197.39334129605857,0.02575070744261876
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_43,43,False,Silverstone,5.8868046875,1,1.0,0.0,0.0,99.0,16.817272740543935,0.9956594860592612,18398.29241750073,211.83896336406542,0.017829694523654804
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_43,43,False,Catalunya,4.64984375,1,1.0,0.0,0.0,86.30000000000001,18.559763432911055,0.9956370341745354,14673.015729640247,191.47862626215033,0.021124898921158746
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_43,43,False,Spa,7.00005029296875,1,0.0,1.0,0.0,,,0.9663142766203618,19500.33139781003,215.2314633377851,0.01660471922858099
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_44,44,False,Monza,5.7902021484375,1,0.0,1.0,0.0,,,0.1607249487997218,2291.921827443288,203.86451993974066,0.013991672000507029
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_44,44,False,Melbourne,5.29873486328125,1,1.0,0.0,0.0,90.7,17.117293531428725,0.9955405591823446,16637.304495888664,207.41069505781257,0.021023269927554253
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_44,44,False,Silverstone,5.8868046875,1,1.0,0.0,0.0,95.10000000000001,16.1547741174316,0.9954008634246879,18386.017691598616,219.38409677585548,0.014653185842760479
ppo_f1_256_256_128_64_32_multitrack_continued_multitrack_Monza_Melbourne_Silverstone_fixed_start_lr_1e-04_seed_44,44,False,Catalunya,4.64984375,1,0.0,1.0,0.0,,,0.36568249311132767,4564.844486760077,215.13675878426432,0.011442484946217217
